,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Eerste kleur,Cilinderinhoud,Datum eerste toelating,Datum eerste tenaamstelling in Nederland,Catalogusprijs
0,H733KF,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220624,20220624,70037
1,J109GR,Personenauto,SKODA,CITIGO,20220128,WIT,,20220121,20220121,24270
2,J184VX,Personenauto,SKODA,CITIGO,20220103,ZWART,,20220103,20220103,24369
3,J459SZ,Personenauto,SKODA,CITIGO,20220103,ZWART,,20220103,20220103,24369
4,J471KX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,74037
5,J806HB,Personenauto,HYUNDAI,NEXO,20220902,BLAUW,,20220624,20220624,69142
6,K588VD,Personenauto,SKODA,CITIGO,20220104,ZWART,,20220104,20220104,22910
7,K619NB,Personenauto,SERES,DFSK,20220106,WIT,,20220106,20220106,36947
8,K695DZ,Personenauto,HYUNDAI,IONIQ,20220624,GRIJS,,20220126,20220126,37967
9,K783GX,Personenauto,HYUNDAI,NEXO,20220602,GRIJS,,20220405,20220405,74037
10,K866BS,Personenauto,TESLA,MODEL 3,20220715,GRIJS,,20220715,20220715,48080
11,L050PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
12,L051PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
13,L052PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
14,L053PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
15,L054PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
16,L055PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
17,L056PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
18,L057PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
19,L058PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
20,L059KH,Personenauto,TOYOTA,PROACE,20220511,WIT,,20220511,20220511,54210
21,L090ZV,Personenauto,HYUNDAI,NEXO,20220531,WIT,,20220531,20220531,78142
